Income	Limit	Rating	Cards	Age	Education	Own	Student	Married	Region	Balance
14.891		283.0	2.0	34.0	11.0		No	Yes	South	333.0
106.025	6645.0	483.0	3.0		15.0	Yes	Yes	Yes	West	903.0
104.593	7075.0		4.0	71.0	11.0		No	No	West	580.0
148.924	9504.0	681.0	3.0	36.0	11.0		No	No	West	964.0
55.882	4897.0	357.0	2.0		16.0	No	No	Yes	South	331.0
80.18	8047.0	569.0	4.0	77.0	10.0	No	No	No	South	1151.0
20.996	3388.0	259.0	2.0	37.0		Yes	No	No	East	203.0
71.408	7114.0	512.0	2.0	87.0	9.0	No	No	No		872.0
15.125	3300.0	266.0	5.0	66.0	13.0	Yes	No		South	279.0
	6819.0	491.0	3.0	41.0	19.0	Yes	Yes		East	1350.0
63.095	8117.0	589.0	4.0	30.0	14.0	No	No	Yes	South	1407.0
	1311.0	138.0	3.0		16.0	No	No	No	South	0.0
80.616	5308.0	394.0	1.0	57.0	7.0	Yes	No	Yes	West	204.0
43.682	6922.0		1.0	49.0	9.0	No	No	Yes		1081.0
19.144	3291.0	269.0	2.0	75.0	13.0	Yes	No	No	East	148.0
20.089	2525.0		3.0	57.0	15.0	Yes	No	Yes	East	0.0
										
36.496	4378.0	339.0	3.0	69.0	15.0	Yes	No	Yes	West	368.0
49.57	6384.0	448.0	1.0		9.0	Yes	No	Yes	West	891.0
42.079		479.0	2.0	44.0	9.0	No	No	No	West	1048.0
17.7	2860.0	235.0	4.0	63.0	16.0		No	No		89.0
37.348		458.0	1.0	72.0	17.0	Yes	No	No	South	968.0
20.103	2631.0	213.0		61.0	10.0	No	No	Yes	East	0.0
64.027	5179.0	398.0	5.0	48.0	8.0	No	No	Yes	East	411.0
10.742	1757.0	156.0		57.0	15.0	Yes	No	No	South	0.0
										
42.471	3625.0	289.0	6.0	44.0		Yes	Yes	No	South	654.0
32.793	4534.0	333.0	2.0	44.0	16.0	No		No	East	467.0
	13414.0	949.0	2.0	41.0	14.0	Yes	No	Yes	East	1809.0
26.813	5611.0	411.0	4.0	55.0	16.0	Yes	No	No		915.0
	5666.0	413.0	4.0	47.0	5.0	Yes	No	Yes	South	863.0
28.941	2733.0			43.0	16.0	No	No	Yes	West	0.0
134.181	7838.0	563.0	2.0	48.0	13.0	Yes	No	No	South	526.0
31.367	1829.0	162.0	4.0	30.0	10.0	No	No	Yes	South	0.0
	2646.0	199.0	2.0	25.0	14.0		No	Yes	West	0.0
23.35		220.0	3.0		12.0	Yes	Yes	No	South	419.0
62.413	6457.0		2.0	71.0	11.0	Yes	No	Yes	South	762.0
30.007		462.0	2.0	69.0	9.0	Yes	No	Yes	South	1093.0
11.795	3899.0	300.0	4.0	25.0	10.0	Yes	No			531.0
13.647	3461.0	264.0	4.0	47.0	14.0	No	No	Yes	South	344.0
34.95	3327.0	253.0		54.0	14.0	Yes	No	No		50.0
113.659	7659.0	538.0	2.0		15.0	No	Yes	Yes	East	1155.0
44.158	4763.0	351.0	2.0	66.0	13.0	Yes	No	Yes	West	385.0
36.929	6257.0	445.0	1.0	24.0		Yes	No	Yes	West	976.0
31.861	6375.0	469.0	3.0	25.0	16.0	Yes	No	Yes	South	1120.0
77.38	7569.0		3.0	50.0	12.0	Yes	No	Yes	South	997.0
19.531	5043.0	376.0	2.0		16.0	Yes	Yes	Yes	West	1241.0
44.646	4431.0	320.0		49.0	15.0			Yes	South	797.0
44.522	2252.0	205.0	6.0	72.0	15.0	No	No		West	0.0
	4569.0		4.0	49.0	13.0	No	Yes	Yes	East	902.0
36.362	5183.0	376.0	3.0	49.0	15.0		No	Yes	East	654.0
39.705	3969.0	301.0	2.0	27.0	20.0	No	No	Yes	East	211.0
44.205	5441.0			32.0	12.0	No	No	Yes	South	607.0
16.304		413.0	4.0	66.0	10.0	No		Yes	West	957.0
